,MJD,V,E_V,CHI2,FILENAME,SNR,EXPTIME,AIRMASS,WAVE_CAL,BARYCOR,RVEPOCH,ACCEPT,MASK
108,58798.13162186981,-3331469.131,34.061,631.825,217014_191111.1096.fits,231,119.141,1.029541483936,LFC,chromatic,5,True,ESPRESSO_G2.fits
109,58798.13347060606,-3331264.992,34.067,657.393,217014_191111.1097.fits,232,132.625,1.055910887831,LFC,chromatic,5,True,ESPRESSO_G2.fits
110,58803.11081500784,-3329397.835,34.095,666.793,217014_191116.1097.fits,233,266.045,1.0301719094652,LFC,chromatic,5,True,ESPRESSO_G2.fits
111,58803.11399978829,-3329307.609,34.045,672.342,217014_191116.1098.fits,233,234.538,1.02968255531165,LFC,chromatic,5,True,ESPRESSO_G2.fits
112,58803.11655754947,-3329327.24,34.078,641.422,217014_191116.1099.fits,233,152.967,1.0295303506029,LFC,chromatic,5,True,ESPRESSO_G2.fits
113,58803.1189278687,-3329198.85,33.979,690.595,217014_191116.1100.fits,234,205.817,1.02961252806955,LFC,chromatic,5,True,ESPRESSO_G2.fits
114,58804.07669808206,-3321967.374,33.131,676.144,217014_191117.1081.fits,239,350.034,1.05234922886335,LFC,chromatic,5,True,ESPRESSO_G2.fits
115,58804.08090678119,-3321801.334,33.181,667.107,217014_191117.1082.fits,239,312.642,1.0474346392442,LFC,chromatic,5,True,ESPRESSO_G2.fits
116,58804.08468690123,-3321827.407,33.124,679.152,217014_191117.1083.fits,240,281.455,1.04347405842995,LFC,chromatic,5,True,ESPRESSO_G2.fits
117,58804.0882976791,-3321792.879,33.184,677.672,217014_191117.1084.fits,238,255.607,1.04028098006935,LFC,chromatic,5,True,ESPRESSO_G2.fits
