,Unnamed: 0,Maxflux,MinWvl,Minflux,Wv_lbounds,Wv_ubounds,Gauss_amp,Gauss_mu,Gauss_sig
100,100,0.9766919796322379,4502.748215459279,0.9153829896014606,4502.662797569744,4502.833582964669,0.08210802268670718,4502.75102345623,0.04150112766747341
101,101,0.9797923359678048,4502.9785921443845,0.37258990732086,4502.84211694479,4503.114938487763,0.6203405692397873,4502.981166666749,0.04434204877685566
102,102,0.9677642020982689,4503.200089550926,0.8876903803813092,4503.123455857509,4503.259665373361,0.10562983142617206,4503.195395919069,0.042758423218254224
103,103,1.0031747409106782,4503.361738045649,0.6372777927961857,4503.268174194028,4503.4892271288145,0.36210957394223464,4503.35795617579,0.03753325213331826
104,104,1.0165560110126126,4503.540191116857,0.993405962114126,4503.497722382341,4503.6760067185805,0.007304219092126444,4503.533628719843,0.013629895858040158
105,105,1.0203146766149855,4503.82017002727,0.9751925664471596,4503.709940542,4503.879489254667,0.02434632924847179,4503.816126008067,0.02563125172578455
106,106,0.9919732564598399,4503.964188388779,0.9756055185143632,4503.8879614241805,4504.031911605752,0.023853314012691137,4503.966199605305,0.049271448744796255
107,107,1.0223780705983747,4504.1080618911965,0.9765458699255892,4504.04037475274,4504.234888871028,0.02287239350689203,4504.096889562214,0.02674363911335008
108,108,1.0230146182395865,4504.5219463926205,0.8592905437865332,4504.327823723447,4504.597835415174,0.13677964740520135,4504.566557397092,0.07032032367397445
109,109,1.0217149328980375,4504.985080528277,0.9868097113534894,4504.884161950323,4505.102728034266,0.0124509787674464,4504.978954635621,0.014509517243074678
110,110,1.0069098377968202,4505.597454501037,0.4924511948560618,4505.371269534389,4505.731318757746,0.45368585825005375,4505.582515367315,0.059269581216824234
111,111,1.002876533207972,4505.798203115305,0.9790866684785924,4505.739681043745,4505.898469962785,0.02198567911567242,4505.810569162414,0.02911737593674711
112,112,1.003078578272097,4506.015357458614,0.963664315104998,4505.906822301039,4506.090447979159,0.03402135540843119,4506.021052159655,0.04937052435905245
113,113,1.009240515477338,4506.548460522707,0.9164134594385548,4506.340459135898,4506.63157427922,0.078227646668737,4506.540999864305,0.04230198213321568
114,114,0.9997902357642632,4506.698029590482,0.9817766417593744,4506.639882928035,4506.7478502580825,0.019630544021563723,4506.683834058569,0.02412677775222174
115,115,1.0036699496785595,4506.8640291181455,0.9592459387447392,4506.75615196832,4506.9552444061965,0.03908019941038292,4506.878511740314,0.05030149270875238
116,116,1.0046068745648635,4507.079532352124,0.8492388046382462,4506.9635337342515,4507.2533484398355,0.1425228403103446,4507.087626011202,0.045773127771927186
